fonte;arquivo;tabela_ou_aba;qtd_colunas;colunas
csv;arquivos/Bases antigas/PEDE_PASSOS_DATASET_FIAP.csv;;69;INSTITUICAO_ENSINO_ALUNO_2020 | NOME | IDADE_ALUNO_2020 | ANOS_PM_2020 | FASE_TURMA_2020 | PONTO_VIRADA_2020 | INDE_2020 | INDE_CONCEITO_2020 | PEDRA_2020 | DESTAQUE_IEG_2020 | DESTAQUE_IDA_2020 | DESTAQUE_IPV_2020 | IAA_2020 | IEG_2020 | IPS_2020 | IDA_2020 | IPP_2020 | IPV_2020 | IAN_2020 | FASE_2021 | TURMA_2021 | INSTITUICAO_ENSINO_ALUNO_2021 | SINALIZADOR_INGRESSANTE_2021 | PEDRA_2021 | INDE_2021 | IAA_2021 | IEG_2021 | IPS_2021 | IDA_2021 | IPP_2021 | REC_EQUIPE_1_2021 | REC_EQUIPE_2_2021 | REC_EQUIPE_3_2021 | REC_EQUIPE_4_2021 | PONTO_VIRADA_2021 | IPV_2021 | IAN_2021 | NIVEL_IDEAL_2021 | DEFASAGEM_2021 | FASE_2022 | TURMA_2022 | ANO_INGRESSO_2022 | BOLSISTA_2022 | INDE_2022 | CG_2022 | CF_2022 | CT_2022 | PEDRA_2022 | DESTAQUE_IEG_2022 | DESTAQUE_IDA_2022 | DESTAQUE_IPV_2022 | IAA_2022 | IEG_2022 | IPS_2022 | IDA_2022 | NOTA_PORT_2022 | NOTA_MAT_2022 | NOTA_ING_2022 | QTD_AVAL_2022 | IPP_2022 | REC_AVA_1_2022 | REC_AVA_2_2022 | REC_AVA_3_2022 | REC_AVA_4_2022 | INDICADO_BOLSA_2022 | PONTO_VIRADA_2022 | IPV_2022 | IAN_2022 | NIVEL_IDEAL_2022
xlsx;arquivos/BASE DE DADOS PEDE 2024 - DATATHON.xlsx;PEDE2022;42;RA | Fase | Turma | Nome | Ano nasc | Idade 22 | Gênero | Ano ingresso | Instituição de ensino | Pedra 20 | Pedra 21 | Pedra 22 | INDE 22 | Cg | Cf | Ct | Nº Av | Avaliador1 | Rec Av1 | Avaliador2 | Rec Av2 | Avaliador3 | Rec Av3 | Avaliador4 | Rec Av4 | IAA | IEG | IPS | Rec Psicologia | IDA | Matem | Portug | Inglês | Indicado | Atingiu PV | IPV | IAN | Fase ideal | Defas | Destaque IEG | Destaque IDA | Destaque IPV
xlsx;arquivos/BASE DE DADOS PEDE 2024 - DATATHON.xlsx;PEDE2023;48;RA | Fase | INDE 2023 | Pedra 2023 | Turma | Nome Anonimizado | Data de Nasc | Idade | Gênero | Ano ingresso | Instituição de ensino | Pedra 20 | Pedra 21 | Pedra 22 | Pedra 23 | INDE 22 | INDE 23 | Cg | Cf | Ct | Nº Av | Avaliador1 | Rec Av1 | Avaliador2 | Rec Av2 | Avaliador3 | Rec Av3 | Avaliador4 | Rec Av4 | IAA | IEG | IPS | IPP | Rec Psicologia | IDA | Mat | Por | Ing | Indicado | Atingiu PV | IPV | IAN | Fase Ideal | Defasagem | Destaque IEG | Destaque IDA | Destaque IPV | Destaque IPV
xlsx;arquivos/BASE DE DADOS PEDE 2024 - DATATHON.xlsx;PEDE2024;50;RA | Fase | INDE 2024 | Pedra 2024 | Turma | Nome Anonimizado | Data de Nasc | Idade | Gênero | Ano ingresso | Instituição de ensino | Pedra 20 | Pedra 21 | Pedra 22 | Pedra 23 | INDE 22 | INDE 23 | Cg | Cf | Ct | Nº Av | Avaliador1 | Rec Av1 | Avaliador2 | Rec Av2 | Avaliador3 | Avaliador4 | Avaliador5 | Avaliador6 | IAA | IEG | IPS | IPP | Rec Psicologia | IDA | Mat | Por | Ing | Indicado | Atingiu PV | IPV | IAN | Fase Ideal | Defasagem | Destaque IEG | Destaque IDA | Destaque IPV | Escola | Ativo/ Inativo | Ativo/ Inativo
xlsx;arquivos/Bases antigas/PEDE_PASSOS_DATASET_FIAP.xlsx;PEDE_PASSOS_DATASET_FIAP;69;INSTITUICAO_ENSINO_ALUNO_2020 | NOME | IDADE_ALUNO_2020 | ANOS_PM_2020 | FASE_TURMA_2020 | PONTO_VIRADA_2020 | INDE_2020 | INDE_CONCEITO_2020 | PEDRA_2020 | DESTAQUE_IEG_2020 | DESTAQUE_IDA_2020 | DESTAQUE_IPV_2020 | IAA_2020 | IEG_2020 | IPS_2020 | IDA_2020 | IPP_2020 | IPV_2020 | IAN_2020 | FASE_2021 | TURMA_2021 | INSTITUICAO_ENSINO_ALUNO_2021 | SINALIZADOR_INGRESSANTE_2021 | PEDRA_2021 | INDE_2021 | IAA_2021 | IEG_2021 | IPS_2021 | IDA_2021 | IPP_2021 | REC_EQUIPE_1_2021 | REC_EQUIPE_2_2021 | REC_EQUIPE_3_2021 | REC_EQUIPE_4_2021 | PONTO_VIRADA_2021 | IPV_2021 | IAN_2021 | NIVEL_IDEAL_2021 | DEFASAGEM_2021 | FASE_2022 | TURMA_2022 | ANO_INGRESSO_2022 | BOLSISTA_2022 | INDE_2022 | CG_2022 | CF_2022 | CT_2022 | PEDRA_2022 | DESTAQUE_IEG_2022 | DESTAQUE_IDA_2022 | DESTAQUE_IPV_2022 | IAA_2022 | IEG_2022 | IPS_2022 | IDA_2022 | NOTA_PORT_2022 | NOTA_MAT_2022 | NOTA_ING_2022 | QTD_AVAL_2022 | IPP_2022 | REC_AVA_1_2022 | REC_AVA_2_2022 | REC_AVA_3_2022 | REC_AVA_4_2022 | INDICADO_BOLSA_2022 | PONTO_VIRADA_2022 | IPV_2022 | IAN_2022 | NIVEL_IDEAL_2022
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/Outras tabelas/TbCentroResultado.csv;6;IdCentroResultado | NomeCentroResultado | IdUnidade | IntegContabil_CentroResultado | StAtivo | StDisponivelAlmoxarifado
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/Outras tabelas/TbCursoFases.csv;71;IdCurso | IdUnidade | NomeCurso | PortariaAutorizacao | StCursoOficial | CodigoCurso | ES_IdentificadorMEC_Curso | ES_Codigo_eMEC | ES_CodigoCurso | ES_CodigoOCDE | ES_NivelAcademico | ES_GrauAcademico | ES_PortariaReconhecimento | ES_PoloEAD | Modalidade | IntegPortal_CodigoCurso | TitulacaoFeminino | TitulacaoMasculino | RenovacaoPortaria | RenovacaoDecreto | RenovacaoDataDecreto | RenovacaoDataPublicacaoDOU | AutorizacaoPortaria | AutorizacaoDecreto | AutorizacaoDataDecreto | AutorizacaoDataPublicacaoDOU | ReconhecimentoPortaria | ReconhecimentoDecreto | ReconhecimentoDataDecreto | ReconhecimentoDataPublicacaoDOU | IdUsuarioCoordenadorResponsavel | FormulaGeracaoMatriculaAlunoCurso | IdServico | TipoCobranca | IdPlanoPagamento | IdVerificacaoMatricula | StIntegracaoAppComunicacao | RMOnLine_IdTextoPersonalizado_Confirmacao | _StCalcularCargaHorariaHoraMinuto | _CalcularCargaHorariaHoraMinuto_FormaCalculo | AutorizacaoVeiculoPublicacaoPortaria | AutorizacaoDataPublicacaoPortaria | AutorizacaoSecaoPublicacaoPortaria | AutorizacaoPaginaPublicacaoPortaria | AutorizacaoNumeroDOUPortaria | AutorizacaoVeiculoPublicacaoDecreto | AutorizacaoDataPublicacaoDecreto | AutorizacaoSecaoPublicacaoDecreto | AutorizacaoPaginaPublicacaoDecreto | AutorizacaoNumeroDOUDecreto | ReconhecimentoVeiculoPublicacaoPortaria | ReconhecimentoDataPublicacaoPortaria | ReconhecimentoSecaoPublicacaoPortaria | ReconhecimentoPaginaPublicacaoPortaria | ReconhecimentoNumeroDOUPortaria | ReconhecimentoVeiculoPublicacaoDecreto | ReconhecimentoDataPublicacaoDecreto | ReconhecimentoSecaoPublicacaoDecreto | ReconhecimentoPaginaPublicacaoDecreto | ReconhecimentoNumeroDOUDecreto | RenovacaoVeiculoPublicacaoPortaria | RenovacaoDataPublicacaoPortaria | RenovacaoSecaoPublicacaoPortaria | RenovacaoPaginaPublicacaoPortaria | RenovacaoNumeroDOUPortaria | RenovacaoVeiculoPublicacaoDecreto | RenovacaoDataPublicacaoDecreto | RenovacaoSecaoPublicacaoDecreto | RenovacaoPaginaPublicacaoDecreto | RenovacaoNumeroDOUDecreto | CodigoUnidadeCurricular
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/Outras tabelas/TbDisciplina.csv;29;IdDisciplina | NomeDisciplina | SiglaDisciplina | BaseComum | UsoEscola | TIAcodigo | CodigoAgrupamento | ES_CargaHoraria | TipoDisciplina | NumeroOrdemHistorico | ES_ConteudoProgramatico | CargaHorariaTotal | CargaHorariaPratica | CargaHorariaTeorica | QtdeCreditos | Ementa | ObjGeral | ObjEspecificos | Bibliografia | BibliografiaComplementar | Metodologia | Recursos | FormaDeAvaliacao | ConteudoProgramatico | Competencias | AulasPraticas | CargaHorariaEstagio | Educacenso_CodigoDisciplina | QtdeAulas
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/Outras tabelas/TbFormaIngresso.csv;4;IdFormaIngresso | NomeFormaIngresso | CodigoFormaIngresso | Codigo
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/Outras tabelas/TbFreqQuadroHorario.csv;6;IdTurmaHorario | IdTurma | DiaSemana | Aula | IdDisciplina | IdSala
